window,gene,category,count
100kb,acer3,sig. positive,14
100kb,ache,sig. negative,7
100kb,ache,sig. positive,8
100kb,acin1a,sig. negative,1
100kb,acin1a,sig. positive,5
100kb,acin1b,sig. positive,11
100kb,ackr3a,sig. negative,1
100kb,ackr3a,sig. positive,5
100kb,ackr3b,sig. positive,31
100kb,ackr4a,sig. positive,7
100kb,ackr4b,sig. positive,5
100kb,aclya,sig. negative,1
100kb,aclya,sig. positive,14
100kb,aclyb,sig. negative,2
100kb,aclyb,sig. positive,5
100kb,acmsd,sig. positive,5
100kb,aco1,sig. positive,6
100kb,aco2,sig. negative,2
100kb,aco2,sig. positive,2
100kb,acod1,sig. positive,1
100kb,acot11a,sig. positive,13
100kb,acot11b,sig. negative,2
100kb,acot13,sig. negative,1
100kb,acot13,sig. positive,1
100kb,acot14,sig. positive,30
100kb,acot16,sig. positive,8
100kb,acot17,sig. positive,8
100kb,acot18,sig. negative,2
100kb,acot19,sig. positive,5
100kb,acot20,sig. negative,3
100kb,acot20,sig. positive,2
100kb,acot21,sig. positive,1
100kb,acot22,sig. negative,1
100kb,acot7,sig. positive,4
100kb,acot8,sig. negative,3
100kb,acot8,sig. positive,1
100kb,acot9.1,sig. negative,1
100kb,acot9.1,sig. positive,2
100kb,acot9.2,sig. positive,31
100kb,acox1,sig. negative,4
100kb,acox1,sig. positive,1
100kb,acox3,sig. positive,5
100kb,acoxl,sig. positive,2
100kb,acp1,sig. negative,6
100kb,acp2,sig. negative,2
100kb,acp2,sig. positive,3
100kb,acp5a,sig. positive,6
100kb,acp5b,sig. positive,4
100kb,acp6,sig. positive,8
100kb,acsbg1,sig. positive,4
100kb,acsbg2,sig. negative,3
100kb,acsbg2,sig. positive,7
100kb,acsf2,sig. negative,1
100kb,acsf2,sig. positive,2
100kb,acsl1a,sig. negative,3
100kb,acsl1a,sig. positive,24
100kb,acsl1b,sig. positive,25
100kb,acsl2,sig. negative,1
100kb,acsl2,sig. positive,39
100kb,acsl3a,sig. negative,1
100kb,acsl3b,sig. positive,48
100kb,acsl4a,sig. negative,1
100kb,acsl4a,sig. positive,11
100kb,acsl4b,sig. negative,1
100kb,acsl4b,sig. positive,18
100kb,acsl5,sig. positive,2
100kb,acsm3,sig. negative,2
100kb,acsm3,sig. positive,9
100kb,acss1,sig. positive,4
100kb,acss2,sig. negative,1
100kb,acss2,sig. positive,2
100kb,acss2l,sig. negative,1
100kb,acss2l,sig. positive,4
100kb,acss3,sig. negative,5
100kb,acta1a,sig. negative,1
100kb,acta1a,sig. positive,15
100kb,acta1b,sig. negative,3
100kb,acta1b,sig. positive,7
100kb,acta2,sig. positive,12
100kb,actc1a,sig. positive,19
100kb,actc1b,sig. negative,11
100kb,actc1b,sig. positive,2
100kb,actc1c,sig. negative,1
100kb,actc1c,sig. positive,2
100kb,actl6a,sig. negative,1
100kb,actl6a,sig. positive,1
100kb,actn1,sig. positive,41
100kb,actn2b,sig. positive,19
100kb,actn3a,sig. negative,1
100kb,actn3a,sig. positive,5
100kb,actn3b,sig. positive,30
100kb,actn4,sig. positive,69
100kb,actr10,sig. negative,2
100kb,actr2a,sig. positive,9
100kb,actr2b,sig. positive,4
100kb,actr3,sig. positive,5
100kb,actr3b,sig. positive,3
100kb,actr5,sig. negative,1
100kb,actr5,sig. positive,2
100kb,actr6,sig. positive,8
100kb,actr8,sig. positive,2
100kb,acvr1ba,sig. positive,10
100kb,acvr1l,sig. positive,2
100kb,acvr2aa,sig. negative,1
100kb,acvr2aa,sig. positive,15
100kb,acvr2ab,sig. positive,7
100kb,acvr2ba,sig. positive,7
100kb,acvrl1,sig. positive,10
100kb,acy1,sig. positive,4
100kb,acy3.1,sig. positive,9
100kb,acy3.2,sig. positive,24
100kb,acyp1,sig. negative,2
100kb,acyp1,sig. positive,1
100kb,acyp2,sig. positive,1
100kb,ada,sig. negative,1
100kb,ada,sig. positive,6
100kb,adad2,sig. positive,5
100kb,adal,sig. negative,3
100kb,adal,sig. positive,1
100kb,adam10a,sig. positive,26
100kb,adam10b,sig. negative,1
100kb,adam10b,sig. positive,13
100kb,adam11,sig. negative,4
100kb,adam11,sig. positive,4
100kb,adam12,sig. negative,2
100kb,adam15,sig. negative,2
100kb,adam15,sig. positive,16
100kb,adam17a,sig. positive,14
100kb,adam17b,sig. positive,10
100kb,adam19a,sig. positive,30
100kb,adam19b,sig. positive,21
100kb,adam22,sig. positive,33
100kb,adam23a,sig. negative,6
100kb,adam23a,sig. positive,5
100kb,adam28,sig. positive,13
100kb,adam8a,sig. positive,39
100kb,adam8b,sig. positive,26
100kb,adamts1,sig. positive,9
100kb,adamts10,sig. positive,33
100kb,adamts12,sig. positive,20
100kb,adamts15a,sig. positive,27
100kb,adamts17,sig. positive,19
100kb,adamts18,sig. positive,45
100kb,adamts3,sig. positive,49
100kb,adamts5,sig. positive,22
100kb,adamts6,sig. positive,53
100kb,adamts8a,sig. positive,5
100kb,adamts9,sig. positive,44
100kb,adamtsl2,sig. positive,5
100kb,adamtsl3,sig. positive,18
100kb,adamtsl5,sig. positive,28
100kb,adamtsl7,sig. positive,3
100kb,adap2,sig. negative,2
100kb,adap2,sig. positive,4
100kb,adar,sig. negative,2
100kb,adar,sig. positive,3
100kb,adarb1a,sig. negative,5
100kb,adarb1a,sig. positive,4
100kb,adarb1b,sig. positive,18
100kb,adarb2,sig. positive,2
100kb,adat1,sig. positive,8
100kb,adat2,sig. positive,11
100kb,adat3,sig. negative,2
100kb,adat3,sig. positive,13
100kb,adck1,sig. negative,1
100kb,adck1,sig. positive,15
100kb,adck2,sig. negative,1
100kb,adck5,sig. positive,1
100kb,adcy1a,sig. positive,1
100kb,adcy1b,sig. negative,1
100kb,adcy1b,sig. positive,2
100kb,adcy2a,sig. negative,2
100kb,adcy2a,sig. positive,1
100kb,adcy2b,sig. positive,26
100kb,adcy3a,sig. positive,2
100kb,adcy3b,sig. positive,3
100kb,adcy5,sig. positive,15
100kb,adcy6a,sig. positive,32
100kb,adcy6b,sig. positive,25
100kb,adcy7,sig. positive,49
100kb,adcy8,sig. positive,9
100kb,adcy9,sig. positive,34
100kb,adcyap1a,sig. positive,34
100kb,adcyap1b,sig. negative,1
100kb,adcyap1b,sig. positive,21
100kb,adcyap1r1a,sig. negative,2
100kb,adcyap1r1a,sig. positive,1
100kb,add1,sig. positive,3
100kb,add2,sig. negative,1
100kb,add2,sig. positive,12
100kb,add3a,sig. positive,5
100kb,add3b,sig. positive,3
100kb,adgb,sig. positive,5
100kb,adgra1a,sig. positive,7
100kb,adgra2,sig. positive,72
100kb,adgra3,sig. positive,19
100kb,adgrb1a,sig. positive,55
100kb,adgrb1b,sig. negative,2
100kb,adgrb1b,sig. positive,6
100kb,adgrb2,sig. positive,12
100kb,adgrb3,sig. positive,16
100kb,adgrd1,sig. positive,19
100kb,adgrd2,sig. positive,15
100kb,adgre10,sig. negative,1
100kb,adgre10,sig. positive,1
100kb,adgre14,sig. positive,1
100kb,adgre15,sig. positive,2
100kb,adgre5b.2,sig. positive,3
100kb,adgre5b.3,sig. negative,1
100kb,adgre5b.3,sig. positive,7
100kb,adgre9,sig. positive,3
100kb,adgrf11,sig. positive,1
100kb,adgrf3a,sig. negative,2
100kb,adgrf3b,sig. negative,2
100kb,adgrf3b,sig. positive,2
100kb,adgrf7,sig. positive,1
100kb,adgrf8,sig. negative,2
100kb,adgrf8,sig. positive,1
100kb,adgrg1,sig. positive,22
100kb,adgrg11,sig. positive,4
100kb,adgrg3,sig. negative,1
100kb,adgrg4a,sig. negative,1
100kb,adgrg4a,sig. positive,1
100kb,adgrg6,sig. positive,32
100kb,adgrl1a,sig. positive,43
100kb,adgrl2a,sig. positive,49
100kb,adgrl2b.1,sig. positive,21
100kb,adgrl3.1,sig. negative,3
100kb,adgrl3.1,sig. positive,31
100kb,adgrl4,sig. negative,17
100kb,adgrl4,sig. positive,10
100kb,adgrv1,sig. negative,3
100kb,adgrv1,sig. positive,37
100kb,adh5,sig. positive,1
100kb,adh8b,sig. negative,10
100kb,adh8b,sig. positive,2
100kb,adhfe1,sig. positive,9
100kb,adi1,sig. positive,1
100kb,adipoqa,sig. positive,1
100kb,adipor1a,sig. negative,3
100kb,adipor1a,sig. positive,8
100kb,adipor1b,sig. negative,2
100kb,adipor1b,sig. positive,2
100kb,adipor2,sig. negative,5
100kb,adipor2,sig. positive,9
100kb,adka,sig. negative,2
100kb,adka,sig. positive,3
100kb,adkb,sig. positive,9
100kb,adma,sig. negative,1
100kb,adma,sig. positive,11
100kb,admb,sig. positive,5
100kb,admp,sig. negative,1
100kb,admp,sig. positive,38
100kb,adnp2a,sig. negative,2
100kb,adnp2b,sig. negative,9
100kb,adnp2b,sig. positive,4
100kb,adnpa,sig. positive,18
100kb,adnpb,sig. negative,4
100kb,adnpb,sig. positive,1
100kb,adoa,sig. positive,17
100kb,adora2aa,sig. positive,57
100kb,adora2ab,sig. positive,6
100kb,adora2b,sig. negative,2
100kb,adora2b,sig. positive,3
100kb,adpgk,sig. negative,3
100kb,adpgk,sig. positive,2
100kb,adpgk2,sig. positive,2
100kb,adprh,sig. positive,12
100kb,adprhl1,sig. positive,2
100kb,adprm,sig. positive,2
100kb,adra1aa,sig. negative,1
100kb,adra1aa,sig. positive,21
100kb,adra1ab,sig. positive,15
100kb,adra1ba,sig. positive,8
100kb,adra1bb,sig. negative,2
100kb,adra1d,sig. positive,47
100kb,adra2b,sig. positive,17
100kb,adra2c,sig. positive,4
100kb,adra2da,sig. positive,13
100kb,adra2db,sig. positive,1
100kb,adrb1,sig. positive,11
100kb,adrb2a,sig. positive,62
100kb,adrb2b,sig. positive,8
100kb,adrb3a,sig. positive,61
100kb,adrb3b,sig. positive,30
100kb,adsl,sig. negative,1
100kb,adsl,sig. positive,41
100kb,adss1,sig. positive,5
100kb,adss2,sig. positive,21
100kb,adssl,sig. negative,4
100kb,adssl,sig. positive,9
100kb,adtrp1,sig. positive,5
100kb,aebp2,sig. positive,7
100kb,aep1,sig. negative,1
100kb,aep1,sig. positive,1
100kb,afap1,sig. positive,52
100kb,afap1l1a,sig. positive,53
100kb,afap1l1b,sig. positive,26
100kb,afap1l2,sig. positive,16
100kb,afdna,sig. positive,53
100kb,aff2,sig. positive,58
100kb,aff3,sig. negative,4
100kb,aff3,sig. positive,9
100kb,aff4,sig. negative,8
100kb,aff4,sig. positive,11
100kb,afg1la,sig. positive,1
100kb,afg1lb,sig. positive,35
100kb,afg3l2,sig. positive,3
100kb,afmid,sig. negative,3
100kb,afmid,sig. positive,3
100kb,afp4,sig. positive,3
100kb,aftpha,sig. negative,1
100kb,aftpha,sig. positive,12
100kb,aftphb,sig. negative,1
100kb,aftphb,sig. positive,3
100kb,aga,sig. positive,2
100kb,agap1,sig. positive,9
100kb,agap2,sig. positive,6
100kb,agap3,sig. positive,20
100kb,agbl1,sig. positive,3
100kb,agbl2,sig. negative,1
100kb,agbl2,sig. positive,3
100kb,agbl4,sig. positive,2
100kb,agbl5,sig. negative,2
100kb,agbl5,sig. positive,3
100kb,agfg1a,sig. positive,24
100kb,agfg1b,sig. positive,1
100kb,aggf1,sig. negative,2
100kb,aggf1,sig. positive,1
100kb,agk,sig. negative,3
100kb,agk,sig. positive,4
100kb,agla,sig. negative,2
100kb,agla,sig. positive,16
100kb,agmat,sig. positive,4
100kb,agmo,sig. positive,10
100kb,ago1,sig. negative,6
100kb,ago1,sig. positive,40
100kb,ago2,sig. positive,5
100kb,ago3a,sig. positive,5
100kb,ago3b,sig. negative,1
100kb,ago3b,sig. positive,18
100kb,ago4,sig. positive,4
100kb,agpat2,sig. positive,5
100kb,agpat3,sig. positive,2
100kb,agpat4,sig. positive,13
100kb,agpat5,sig. positive,9
100kb,agpat9l,sig. positive,6
100kb,agps,sig. positive,3
100kb,agr2,sig. negative,2
100kb,agr2,sig. positive,4
100kb,agrn,sig. positive,11
100kb,agt,sig. positive,5
100kb,agtpbp1,sig. positive,6
100kb,agtr1a,sig. negative,1
100kb,agtr1a,sig. positive,4
100kb,agtr1b,sig. positive,1
100kb,agtr2,sig. negative,1
100kb,agtr2,sig. positive,6
100kb,agtrap,sig. positive,11
100kb,agxt2,sig. positive,21
100kb,agxtb,sig. positive,3
100kb,ahctf1,sig. negative,1
100kb,ahctf1,sig. positive,3
100kb,ahcy,sig. negative,3
100kb,ahcy,sig. positive,4
100kb,ahcyl1,sig. negative,1
100kb,ahcyl1,sig. positive,31
100kb,ahcyl2a,sig. positive,1
100kb,ahcyl2b,sig. positive,6
100kb,ahdc1,sig. positive,13
100kb,ahi1,sig. negative,5
100kb,ahi1,sig. positive,6
100kb,ahnak,sig. negative,19
100kb,ahnak,sig. positive,36
100kb,ahr1a,sig. positive,3
100kb,ahr1b,sig. positive,14
100kb,ahr2,sig. positive,49
100kb,ahrrb,sig. negative,2
100kb,ahrrb,sig. positive,1
100kb,ahsa1a,sig. negative,2
100kb,ahsa1a,sig. positive,4
100kb,ahsa1b,sig. negative,1
100kb,ahsa1b,sig. positive,9
100kb,aida,sig. negative,1
100kb,aif1l,sig. negative,2
100kb,aif1l,sig. positive,2
100kb,aifm1,sig. negative,1
100kb,aifm1,sig. positive,4
100kb,aifm2,sig. positive,1
100kb,aifm3,sig. positive,7
100kb,aifm4,sig. negative,2
100kb,aifm4,sig. positive,1
100kb,aifm5,sig. negative,1
100kb,aifm5,sig. positive,3
100kb,aimp1a,sig. negative,1
100kb,aimp1a,sig. positive,1
100kb,aimp1b,sig. negative,5
100kb,aimp1b,sig. positive,1
100kb,aimp2,sig. negative,1
100kb,aip,sig. negative,1
100kb,aipl1,sig. positive,12
100kb,aire,sig. positive,4
100kb,ajap1,sig. negative,2
100kb,ajap1,sig. positive,10
100kb,ajuba,sig. positive,8
100kb,ak1,sig. negative,3
100kb,ak1,sig. positive,12
100kb,ak2,sig. negative,2
100kb,ak2,sig. positive,6
100kb,ak3,sig. positive,13
