window,gene,category,count
100kb,zgc:136472,sig. positive,3
100kb,zgc:136858,sig. positive,2
100kb,zgc:136864,sig. negative,1
100kb,zgc:136864,sig. positive,5
100kb,zgc:136870,sig. negative,1
100kb,zgc:136870,sig. positive,30
100kb,zgc:136872,sig. negative,1
100kb,zgc:136872,sig. positive,1
100kb,zgc:136908,sig. positive,3
100kb,zgc:136971,sig. positive,3
100kb,zgc:152652,sig. positive,6
100kb,zgc:152670,sig. negative,3
100kb,zgc:152753,sig. negative,2
100kb,zgc:152774,sig. negative,2
100kb,zgc:152774,sig. positive,4
100kb,zgc:152830,sig. positive,7
100kb,zgc:152863,sig. negative,5
100kb,zgc:152863,sig. positive,1
100kb,zgc:152891,sig. negative,1
100kb,zgc:152891,sig. positive,1
100kb,zgc:152938,sig. positive,9
100kb,zgc:152948,sig. positive,1
100kb,zgc:152951,sig. negative,5
100kb,zgc:152951,sig. positive,1
100kb,zgc:152968,sig. negative,1
100kb,zgc:152968,sig. positive,1
100kb,zgc:153012,sig. negative,2
100kb,zgc:153012,sig. positive,2
100kb,zgc:153018,sig. positive,3
100kb,zgc:153039,sig. positive,6
100kb,zgc:153044,sig. negative,1
100kb,zgc:153044,sig. positive,3
100kb,zgc:153115,sig. negative,1
100kb,zgc:153115,sig. positive,9
100kb,zgc:153116,sig. negative,1
100kb,zgc:153116,sig. positive,2
100kb,zgc:153151,sig. positive,18
100kb,zgc:153157,sig. positive,2
100kb,zgc:153169,sig. negative,2
100kb,zgc:153169,sig. positive,1
100kb,zgc:153184,sig. negative,2
100kb,zgc:153184,sig. positive,2
100kb,zgc:153219,sig. negative,1
100kb,zgc:153219,sig. positive,3
100kb,zgc:153284,sig. positive,9
100kb,zgc:153345,sig. negative,1
100kb,zgc:153345,sig. positive,1
100kb,zgc:153352,sig. negative,3
100kb,zgc:153352,sig. positive,4
100kb,zgc:153372,sig. positive,32
100kb,zgc:153405,sig. negative,2
100kb,zgc:153405,sig. positive,16
100kb,zgc:153409,sig. negative,3
100kb,zgc:153409,sig. positive,4
100kb,zgc:153431,sig. positive,21
100kb,zgc:153441,sig. negative,3
100kb,zgc:153615,sig. negative,5
100kb,zgc:153615,sig. positive,8
100kb,zgc:153631,sig. positive,4
100kb,zgc:153659,sig. negative,3
100kb,zgc:153659,sig. positive,2
100kb,zgc:153675,sig. positive,2
100kb,zgc:153704,sig. negative,1
100kb,zgc:153738,sig. negative,1
100kb,zgc:153738,sig. positive,4
100kb,zgc:153760,sig. negative,1
100kb,zgc:153760,sig. positive,2
100kb,zgc:153867,sig. negative,1
100kb,zgc:153867,sig. positive,3
100kb,zgc:153896,sig. positive,2
100kb,zgc:153911,sig. positive,1
100kb,zgc:153913,sig. negative,2
100kb,zgc:153913,sig. positive,1
100kb,zgc:153932,sig. negative,1
100kb,zgc:153935,sig. positive,2
100kb,zgc:153981,sig. positive,2
100kb,zgc:153990,sig. negative,3
100kb,zgc:153993,sig. negative,7
100kb,zgc:153993,sig. positive,25
100kb,zgc:154006,sig. positive,13
100kb,zgc:154054,sig. negative,1
100kb,zgc:154054,sig. positive,3
100kb,zgc:154055,sig. positive,21
100kb,zgc:154058,sig. positive,2
100kb,zgc:154075,sig. negative,13
100kb,zgc:154075,sig. positive,1
100kb,zgc:154093,sig. negative,1
100kb,zgc:154093,sig. positive,3
100kb,zgc:154125,sig. negative,4
100kb,zgc:154125,sig. positive,3
100kb,zgc:154142,sig. negative,1
100kb,zgc:154142,sig. positive,1
100kb,zgc:154164,sig. positive,39
100kb,zgc:158258,sig. positive,8
100kb,zgc:158260,sig. positive,1
100kb,zgc:158263,sig. positive,12
100kb,zgc:158320,sig. negative,2
100kb,zgc:158343,sig. positive,37
100kb,zgc:158398,sig. negative,1
100kb,zgc:158398,sig. positive,4
100kb,zgc:158403,sig. positive,36
100kb,zgc:158423,sig. positive,25
100kb,zgc:158464,sig. positive,26
100kb,zgc:158482,sig. negative,3
100kb,zgc:158482,sig. positive,3
100kb,zgc:158659,sig. negative,2
100kb,zgc:158659,sig. positive,3
100kb,zgc:158689,sig. positive,36
100kb,zgc:158701,sig. negative,1
100kb,zgc:158785,sig. negative,1
100kb,zgc:158785,sig. positive,4
100kb,zgc:158803,sig. negative,9
100kb,zgc:158803,sig. positive,1
100kb,zgc:158868,sig. positive,1
100kb,zgc:161973,sig. positive,5
100kb,zgc:162025,sig. positive,5
100kb,zgc:162060,sig. positive,21
100kb,zgc:162144,sig. negative,2
100kb,zgc:162144,sig. positive,4
100kb,zgc:162184,sig. positive,6
100kb,zgc:162200,sig. positive,7
100kb,zgc:162239,sig. positive,34
100kb,zgc:162297,sig. negative,1
100kb,zgc:162331,sig. negative,3
100kb,zgc:162331,sig. positive,1
100kb,zgc:162344,sig. positive,5
100kb,zgc:162472,sig. positive,6
100kb,zgc:162509,sig. positive,2
100kb,zgc:162592,sig. positive,1
100kb,zgc:162608,sig. negative,1
100kb,zgc:162608,sig. positive,11
100kb,zgc:162611,sig. negative,1
100kb,zgc:162611,sig. positive,42
100kb,zgc:162698,sig. positive,3
100kb,zgc:162730,sig. negative,5
100kb,zgc:162730,sig. positive,33
100kb,zgc:162780,sig. positive,1
100kb,zgc:162816,sig. negative,2
100kb,zgc:162872,sig. positive,3
100kb,zgc:162936,sig. positive,6
100kb,zgc:162941,sig. negative,1
100kb,zgc:162941,sig. positive,7
100kb,zgc:162944,sig. negative,6
100kb,zgc:162944,sig. positive,2
100kb,zgc:162948,sig. negative,1
100kb,zgc:162952,sig. positive,21
100kb,zgc:162958,sig. negative,1
100kb,zgc:162958,sig. positive,1
100kb,zgc:162962,sig. positive,2
100kb,zgc:162972,sig. positive,2
100kb,zgc:163014,sig. negative,1
100kb,zgc:163014,sig. positive,4
100kb,zgc:163030,sig. negative,2
100kb,zgc:163030,sig. positive,1
100kb,zgc:163040,sig. positive,3
100kb,zgc:163061,sig. negative,2
100kb,zgc:163061,sig. positive,7
100kb,zgc:163073,sig. positive,16
100kb,zgc:163077,sig. positive,12
100kb,zgc:163083,sig. positive,1
100kb,zgc:163098,sig. negative,5
100kb,zgc:163143,sig. positive,2
100kb,zgc:165409,sig. negative,2
100kb,zgc:165409,sig. positive,1
100kb,zgc:165481,sig. negative,2
100kb,zgc:165481,sig. positive,10
100kb,zgc:165514,sig. positive,5
100kb,zgc:165515,sig. positive,9
100kb,zgc:165518,sig. positive,3
100kb,zgc:165539,sig. negative,3
100kb,zgc:165539,sig. positive,1
100kb,zgc:165555,sig. negative,1
100kb,zgc:165555,sig. positive,1
100kb,zgc:165573,sig. negative,1
100kb,zgc:165573,sig. positive,3
100kb,zgc:165603,sig. positive,12
100kb,zgc:165604,sig. positive,1
100kb,zgc:171220,sig. positive,2
100kb,zgc:171242,sig. negative,2
100kb,zgc:171242,sig. positive,2
100kb,zgc:171310,sig. positive,11
100kb,zgc:171424,sig. negative,3
100kb,zgc:171424,sig. positive,2
100kb,zgc:171426,sig. negative,1
100kb,zgc:171426,sig. positive,2
100kb,zgc:171435,sig. negative,3
100kb,zgc:171452,sig. positive,4
100kb,zgc:171459,sig. negative,1
100kb,zgc:171459,sig. positive,3
100kb,zgc:171480,sig. negative,5
100kb,zgc:171482,sig. negative,1
100kb,zgc:171482,sig. positive,8
100kb,zgc:171490,sig. negative,3
100kb,zgc:171490,sig. positive,4
100kb,zgc:171506,sig. positive,17
100kb,zgc:171509,sig. negative,3
100kb,zgc:171509,sig. positive,2
100kb,zgc:171534,sig. positive,6
100kb,zgc:171551,sig. negative,1
100kb,zgc:171551,sig. positive,7
100kb,zgc:171579,sig. negative,3
100kb,zgc:171599,sig. positive,6
100kb,zgc:171601,sig. negative,1
100kb,zgc:171673,sig. negative,1
100kb,zgc:171679,sig. negative,2
100kb,zgc:171679,sig. positive,2
100kb,zgc:171686,sig. positive,25
100kb,zgc:171704,sig. positive,5
100kb,zgc:171727,sig. negative,2
100kb,zgc:171750,sig. positive,2
100kb,zgc:171772,sig. negative,3
100kb,zgc:171772,sig. positive,6
100kb,zgc:171775,sig. negative,4
100kb,zgc:171775,sig. positive,40
100kb,zgc:171776,sig. negative,29
100kb,zgc:171844,sig. positive,14
100kb,zgc:171901,sig. positive,1
100kb,zgc:171927,sig. positive,1
100kb,zgc:171971,sig. negative,7
100kb,zgc:171971,sig. positive,2
100kb,zgc:171977,sig. negative,3
100kb,zgc:172014,sig. positive,2
100kb,zgc:172051,sig. positive,1
100kb,zgc:172053,sig. positive,15
100kb,zgc:172075,sig. negative,1
100kb,zgc:172090,sig. positive,2
100kb,zgc:172091,sig. positive,2
100kb,zgc:172106,sig. negative,3
100kb,zgc:172106,sig. positive,12
100kb,zgc:172120,sig. positive,16
100kb,zgc:172121,sig. negative,1
100kb,zgc:172121,sig. positive,1
100kb,zgc:172122,sig. positive,1
100kb,zgc:172128,sig. negative,2
100kb,zgc:172133,sig. positive,1
100kb,zgc:172145,sig. positive,58
100kb,zgc:172182,sig. positive,46
100kb,zgc:172282,sig. positive,18
100kb,zgc:172323,sig. negative,2
100kb,zgc:172323,sig. positive,5
100kb,zgc:172339,sig. negative,1
100kb,zgc:172339,sig. positive,1
100kb,zgc:173443,sig. positive,1
100kb,zgc:173486,sig. negative,1
100kb,zgc:173486,sig. positive,5
100kb,zgc:173517,sig. positive,2
100kb,zgc:173544,sig. positive,51
100kb,zgc:173548,sig. positive,9
100kb,zgc:173575,sig. negative,1
100kb,zgc:173575,sig. positive,6
100kb,zgc:173581,sig. negative,2
100kb,zgc:173581,sig. positive,1
100kb,zgc:173585,sig. negative,2
100kb,zgc:173585,sig. positive,11
100kb,zgc:173587,sig. negative,2
100kb,zgc:173587,sig. positive,19
100kb,zgc:173607,sig. positive,1
100kb,zgc:173615,sig. positive,1
100kb,zgc:173624,sig. positive,1
100kb,zgc:173702,sig. positive,2
100kb,zgc:173714,sig. negative,1
100kb,zgc:173714,sig. positive,1
100kb,zgc:173720,sig. positive,1
100kb,zgc:173726,sig. positive,20
100kb,zgc:173729,sig. positive,2
100kb,zgc:173742,sig. negative,1
100kb,zgc:173742,sig. positive,1
100kb,zgc:173770,sig. positive,1
100kb,zgc:174153,sig. positive,42
100kb,zgc:174154,sig. positive,52
100kb,zgc:174180,sig. negative,1
100kb,zgc:174224,sig. positive,1
100kb,zgc:174259,sig. negative,3
100kb,zgc:174260,sig. positive,1
100kb,zgc:174268,sig. positive,1
100kb,zgc:174288,sig. negative,1
100kb,zgc:174288,sig. positive,3
100kb,zgc:174310,sig. negative,1
100kb,zgc:174315,sig. negative,2
100kb,zgc:174356,sig. positive,7
100kb,zgc:174357,sig. positive,1
100kb,zgc:174574,sig. negative,1
100kb,zgc:174624,sig. positive,2
100kb,zgc:174855,sig. positive,41
100kb,zgc:174862,sig. negative,1
100kb,zgc:174863,sig. positive,4
100kb,zgc:174877,sig. positive,11
100kb,zgc:174888,sig. negative,11
100kb,zgc:174888,sig. positive,4
100kb,zgc:174890,sig. positive,4
100kb,zgc:174895,sig. negative,1
100kb,zgc:174904,sig. positive,3
100kb,zgc:174906,sig. negative,10
100kb,zgc:174906,sig. positive,3
100kb,zgc:174931,sig. negative,1
100kb,zgc:174931,sig. positive,1
100kb,zgc:174935,sig. negative,1
100kb,zgc:174935,sig. positive,14
100kb,zgc:174938,sig. positive,19
100kb,zgc:174944,sig. positive,1
100kb,zgc:174945,sig. positive,1
100kb,zgc:174972,sig. positive,13
100kb,zgc:175107,sig. positive,6
100kb,zgc:175136,sig. negative,2
100kb,zgc:175214,sig. negative,5
100kb,zgc:175214,sig. positive,6
100kb,zgc:175280,sig. positive,8
100kb,zgc:175284,sig. negative,4
100kb,zgc:175284,sig. positive,3
100kb,zgc:193505,sig. negative,3
100kb,zgc:193505,sig. positive,1
100kb,zgc:193711,sig. negative,1
100kb,zgc:193711,sig. positive,20
100kb,zgc:193726,sig. positive,6
100kb,zgc:193742,sig. negative,1
100kb,zgc:193742,sig. positive,1
100kb,zgc:193790,sig. negative,3
100kb,zgc:193801,sig. negative,3
100kb,zgc:193801,sig. positive,1
100kb,zgc:193811,sig. positive,9
100kb,zgc:193812,sig. negative,2
100kb,zgc:193812,sig. positive,3
100kb,zgc:194007,sig. positive,1
100kb,zgc:194101,sig. negative,3
100kb,zgc:194207,sig. negative,2
100kb,zgc:194209,sig. positive,6
100kb,zgc:194210,sig. positive,13
100kb,zgc:194215,sig. positive,1
100kb,zgc:194224,sig. negative,12
100kb,zgc:194224,sig. positive,4
100kb,zgc:194242,sig. negative,19
100kb,zgc:194242,sig. positive,2
100kb,zgc:194246,sig. negative,1
100kb,zgc:194246,sig. positive,4
100kb,zgc:194252,sig. positive,3
100kb,zgc:194285,sig. negative,2
100kb,zgc:194285,sig. positive,4
100kb,zgc:194312,sig. positive,23
100kb,zgc:194398,sig. positive,10
100kb,zgc:194443,sig. positive,2
100kb,zgc:194621,sig. negative,1
100kb,zgc:194621,sig. positive,1
100kb,zgc:194627,sig. positive,22
100kb,zgc:194629,sig. positive,1
100kb,zgc:194655,sig. positive,1
100kb,zgc:194659,sig. positive,3
100kb,zgc:194839,sig. positive,7
100kb,zgc:194906,sig. positive,4
100kb,zgc:194908,sig. negative,1
100kb,zgc:194908,sig. positive,7
100kb,zgc:194930,sig. positive,47
100kb,zgc:194981,sig. negative,1
100kb,zgc:194981,sig. positive,1
100kb,zgc:194989,sig. positive,28
100kb,zgc:194990,sig. positive,14
100kb,zgc:195001,sig. negative,1
100kb,zgc:195075,sig. positive,4
100kb,zgc:195170,sig. negative,2
100kb,zgc:195170,sig. positive,5
100kb,zgc:195173,sig. positive,2
100kb,zgc:195245,sig. negative,1
100kb,zgc:195245,sig. positive,1
100kb,zgc:195282,sig. negative,3
100kb,zgc:195282,sig. positive,2
100kb,zgc:195356,sig. positive,1
100kb,zgc:55558,sig. negative,1
100kb,zgc:55558,sig. positive,1
100kb,zgc:55733,sig. negative,2
100kb,zgc:55733,sig. positive,1
100kb,zgc:55943,sig. negative,1
100kb,zgc:56095,sig. positive,10
100kb,zgc:56231,sig. positive,1
100kb,zgc:56235,sig. positive,3
100kb,zgc:56585,sig. positive,17
100kb,zgc:56622,sig. negative,2
100kb,zgc:56628,sig. positive,17
100kb,zgc:56699,sig. positive,7
100kb,zgc:63587,sig. negative,1
100kb,zgc:63587,sig. positive,4
100kb,zgc:63863,sig. negative,2
100kb,zgc:63863,sig. positive,4
100kb,zgc:63972,sig. positive,4
100kb,zgc:64002,sig. negative,3
100kb,zgc:64022,sig. positive,13
100kb,zgc:64051,sig. positive,1
100kb,zgc:64065,sig. positive,1
100kb,zgc:64106,sig. positive,6
100kb,zgc:65894,sig. negative,5
100kb,zgc:65894,sig. positive,3
100kb,zgc:65895,sig. negative,2
100kb,zgc:65895,sig. positive,1
100kb,zgc:65997,sig. negative,2
100kb,zgc:65997,sig. positive,6
100kb,zgc:66427,sig. positive,8
100kb,zgc:66433,sig. positive,54
100kb,zgc:66443,sig. negative,1
100kb,zgc:66443,sig. positive,20
100kb,zgc:66447,sig. positive,3
100kb,zgc:66448,sig. negative,1
100kb,zgc:66448,sig. positive,2
100kb,zgc:66455,sig. positive,6
100kb,zgc:66472,sig. positive,6
100kb,zgc:66474,sig. negative,1
100kb,zgc:66474,sig. positive,17
100kb,zgc:66479,sig. positive,9
100kb,zgc:66483,sig. positive,6
100kb,zgc:66484,sig. negative,4
100kb,zgc:73226,sig. positive,2
100kb,zgc:77056,sig. negative,1
100kb,zgc:77056,sig. positive,5
100kb,zgc:77151,sig. positive,1
100kb,zgc:77158,sig. positive,37
100kb,zgc:77262,sig. negative,3
100kb,zgc:77375,sig. positive,1
100kb,zgc:77439,sig. positive,2
100kb,zgc:77486,sig. negative,1
100kb,zgc:77486,sig. positive,3
100kb,zgc:77784,sig. positive,39
100kb,zgc:77880,sig. positive,19
100kb,zgc:77938,sig. negative,1
100kb,zgc:85932,sig. positive,19
100kb,zgc:85936,sig. negative,3
100kb,zgc:85936,sig. positive,13
100kb,zgc:86598,sig. negative,2
100kb,zgc:86598,sig. positive,4
100kb,zgc:86609,sig. positive,2
100kb,zgc:86764,sig. positive,4
100kb,zgc:86896,sig. positive,22
100kb,zgc:91910,sig. negative,8
100kb,zgc:91944,sig. negative,2
100kb,zgc:91944,sig. positive,11
100kb,zgc:91968,sig. negative,1
100kb,zgc:91999,sig. positive,1
100kb,zgc:92040,sig. negative,2
100kb,zgc:92040,sig. positive,2
100kb,zgc:92140,sig. positive,11
100kb,zgc:92161,sig. negative,2
100kb,zgc:92242,sig. positive,12
100kb,zgc:92275,sig. positive,3
100kb,zgc:92313,sig. positive,18
100kb,zgc:92360,sig. positive,19
100kb,zgc:92380,sig. positive,37
100kb,zgc:92429,sig. positive,35
100kb,zgc:92590,sig. positive,1
100kb,zgc:92594,sig. negative,1
100kb,zgc:92594,sig. positive,1
100kb,zgc:92664,sig. negative,6
100kb,zgc:92664,sig. positive,4
100kb,zgc:92749,sig. negative,1
100kb,zgc:92749,sig. positive,5
100kb,zgc:92907,sig. negative,1
100kb,zgc:92907,sig. positive,1
100kb,zglp1,sig. positive,3
100kb,zgpat,sig. negative,1
100kb,zgpat,sig. positive,1
100kb,zhx2a,sig. negative,1
100kb,zhx2a,sig. positive,3
100kb,zic1,sig. positive,77
100kb,zic2a,sig. positive,69
100kb,zic2b,sig. positive,32
100kb,zic3,sig. positive,63
100kb,zic4,sig. positive,78
100kb,zic5,sig. positive,61
100kb,zic6,sig. positive,18
100kb,zmat2,sig. negative,1
100kb,zmat2,sig. positive,3
100kb,zmat3,sig. positive,3
100kb,zmat4a,sig. positive,28
100kb,zmat4b,sig. positive,5
100kb,zmat5,sig. negative,5
100kb,zmiz1a,sig. negative,3
100kb,zmiz1a,sig. positive,23
100kb,zmiz2,sig. positive,12
100kb,zmp:0000000606,sig. positive,3
100kb,zmp:0000000608,sig. negative,1
100kb,zmp:0000000608,sig. positive,1
100kb,zmp:0000000652,sig. positive,2
100kb,zmp:0000000662,sig. positive,6
100kb,zmp:0000000760,sig. negative,1
100kb,zmp:0000000760,sig. positive,42
100kb,zmp:0000000912,sig. negative,1
100kb,zmp:0000000912,sig. positive,1
100kb,zmp:0000000924,sig. positive,2
100kb,zmp:0000000936,sig. positive,24
100kb,zmp:0000000951,sig. negative,1
100kb,zmp:0000000951,sig. positive,7
100kb,zmp:0000000984,sig. positive,1
100kb,zmp:0000000991,sig. negative,1
100kb,zmp:0000000991,sig. positive,7
100kb,zmp:0000001006,sig. positive,5
100kb,zmp:0000001020,sig. negative,1
100kb,zmp:0000001020,sig. positive,1
100kb,zmp:0000001048,sig. negative,3
100kb,zmp:0000001048,sig. positive,7
100kb,zmp:0000001082,sig. positive,10
100kb,zmp:0000001088,sig. negative,1
100kb,zmp:0000001088,sig. positive,3
100kb,zmp:0000001127,sig. positive,1
100kb,zmp:0000001138,sig. positive,1
100kb,zmp:0000001267,sig. positive,6
100kb,zmp:0000001268,sig. positive,2
100kb,zmpste24,sig. negative,2
100kb,zmpste24,sig. positive,13
100kb,zmym2,sig. negative,1
100kb,zmym2,sig. positive,7
100kb,zmynd10,sig. negative,1
100kb,zmynd10,sig. positive,3
100kb,zmynd11,sig. negative,1
100kb,zmynd12,sig. positive,1
100kb,zmynd19,sig. positive,5
100kb,zmynd8,sig. negative,1
100kb,zmynd8,sig. positive,6
100kb,znf1001,sig. positive,3
100kb,znf1002,sig. positive,3
100kb,znf1003,sig. positive,1
100kb,znf1004,sig. positive,2
100kb,znf1005,sig. positive,24
100kb,znf1007,sig. positive,6
100kb,znf1008,sig. positive,1
100kb,znf1010,sig. negative,3
100kb,znf1014,sig. negative,2
100kb,znf1014,sig. positive,1
100kb,znf1015,sig. positive,1
100kb,znf1024,sig. positive,3
100kb,znf1034,sig. negative,1
100kb,znf1035,sig. positive,6
100kb,znf1041,sig. negative,1
100kb,znf1041,sig. positive,7
100kb,znf1042,sig. positive,1
100kb,znf1059,sig. positive,2
100kb,znf1065,sig. negative,2
100kb,znf1065,sig. positive,3
100kb,znf1067,sig. negative,1
100kb,znf1067,sig. positive,2
100kb,znf106a,sig. positive,16
100kb,znf106b,sig. positive,6
100kb,znf1070,sig. positive,3
100kb,znf1072,sig. negative,1
100kb,znf1072,sig. positive,1
100kb,znf1078,sig. negative,1
100kb,znf1113,sig. positive,2
100kb,znf1117,sig. positive,1
100kb,znf1119,sig. positive,4
100kb,znf1140,sig. positive,2
100kb,znf1141,sig. negative,1
100kb,znf1141,sig. positive,1
100kb,znf1144,sig. negative,1
100kb,znf1144,sig. positive,1
100kb,znf1154,sig. positive,1
100kb,znf1155,sig. negative,1
100kb,znf1155,sig. positive,4
100kb,znf1156,sig. negative,4
100kb,znf1156,sig. positive,2
100kb,znf1157,sig. positive,8
100kb,znf1159,sig. positive,3
100kb,znf1160,sig. negative,1
100kb,znf1160,sig. positive,2
100kb,znf1161,sig. negative,1
100kb,znf1161,sig. positive,4
100kb,znf1162,sig. positive,1
100kb,znf1167,sig. negative,1
100kb,znf1168,sig. positive,1
100kb,znf1169,sig. positive,1
100kb,znf1173,sig. positive,2
100kb,znf1174,sig. positive,2
100kb,znf1175,sig. positive,2
100kb,znf1178,sig. negative,5
100kb,znf1178,sig. positive,1
100kb,znf1184,sig. positive,4
100kb,znf131,sig. negative,7
100kb,znf131,sig. positive,1
100kb,znf142,sig. negative,5
100kb,znf142,sig. positive,1
100kb,znf143a,sig. negative,1
100kb,znf143b,sig. positive,11
100kb,znf148,sig. positive,3
100kb,znf185,sig. positive,1
100kb,znf207a,sig. negative,1
100kb,znf207a,sig. positive,4
100kb,znf207b,sig. positive,17
100kb,znf217,sig. negative,1
100kb,znf217,sig. positive,8
100kb,znf219,sig. positive,40
100kb,znf236,sig. positive,2
100kb,znf277,sig. negative,3
100kb,znf277,sig. positive,1
100kb,znf280d,sig. negative,3
100kb,znf280d,sig. positive,15
100kb,znf281a,sig. positive,21
100kb,znf281b,sig. negative,3
100kb,znf281b,sig. positive,5
100kb,znf292a,sig. negative,4
100kb,znf292a,sig. positive,4
100kb,znf292b,sig. negative,1
100kb,znf292b,sig. positive,1
100kb,znf296,sig. negative,1
100kb,znf296,sig. positive,17
100kb,znf318,sig. positive,5
100kb,znf319b,sig. positive,2
100kb,znf330,sig. positive,5
100kb,znf341,sig. negative,1
100kb,znf341,sig. positive,4
100kb,znf346,sig. positive,2
100kb,znf362a,sig. negative,1
100kb,znf362a,sig. positive,1
100kb,znf362b,sig. negative,6
100kb,znf362b,sig. positive,3
100kb,znf365,sig. negative,2
100kb,znf366,sig. positive,2
100kb,znf367,sig. negative,3
100kb,znf367,sig. positive,12
100kb,znf385a,sig. positive,45
100kb,znf385b,sig. negative,1
100kb,znf385b,sig. positive,21
100kb,znf385c,sig. positive,16
100kb,znf385d,sig. positive,13
100kb,znf395a,sig. negative,2
100kb,znf395a,sig. positive,1
100kb,znf395b,sig. negative,1
100kb,znf395b,sig. positive,6
100kb,znf407,sig. negative,4
100kb,znf408,sig. positive,1
100kb,znf410,sig. negative,2
100kb,znf410,sig. positive,2
100kb,znf414,sig. negative,1
100kb,znf423,sig. positive,44
100kb,znf438,sig. positive,23
100kb,znf451,sig. positive,2
100kb,znf503,sig. positive,49
100kb,znf507,sig. positive,1
100kb,znf511,sig. negative,1
100kb,znf511,sig. positive,1
100kb,znf512,sig. positive,1
100kb,znf513a,sig. positive,6
100kb,znf516,sig. positive,55
100kb,znf526,sig. negative,1
100kb,znf532,sig. negative,1
100kb,znf532,sig. positive,10
100kb,znf536,sig. positive,63
100kb,znf541,sig. positive,4
100kb,znf574,sig. negative,2
100kb,znf574,sig. positive,6
100kb,znf576.1,sig. negative,4
100kb,znf576.2,sig. negative,5
100kb,znf576.2,sig. positive,5
100kb,znf593,sig. positive,19
100kb,znf598,sig. negative,1
100kb,znf598,sig. positive,15
100kb,znf609a,sig. negative,2
100kb,znf609a,sig. positive,22
100kb,znf609b,sig. positive,32
100kb,znf618,sig. positive,9
100kb,znf622,sig. negative,1
100kb,znf622,sig. positive,1
100kb,znf644a,sig. negative,6
100kb,znf644b,sig. negative,2
100kb,znf644b,sig. positive,20
100kb,znf648,sig. positive,11
100kb,znf652,sig. negative,4
100kb,znf652,sig. positive,5
100kb,znf653,sig. positive,8
100kb,znf654,sig. positive,24
100kb,znf668,sig. negative,1
100kb,znf687a,sig. positive,1
100kb,znf687b,sig. negative,1
100kb,znf687b,sig. positive,3
100kb,znf692,sig. negative,7
100kb,znf692,sig. positive,5
100kb,znf703,sig. positive,51
100kb,znf704,sig. positive,27
100kb,znf706,sig. negative,34
100kb,znf706,sig. positive,1
100kb,znf710a,sig. negative,1
100kb,znf710a,sig. positive,24
100kb,znf710b,sig. positive,1
100kb,znf711,sig. negative,3
100kb,znf711,sig. positive,2
100kb,znf740a,sig. negative,1
100kb,znf740a,sig. positive,12
100kb,znf740b,sig. negative,8
100kb,znf750,sig. positive,12
100kb,znf76,sig. negative,2
100kb,znf76,sig. positive,2
100kb,znf800a,sig. negative,1
100kb,znf800a,sig. positive,3
100kb,znf800b,sig. positive,5
100kb,znf804a,sig. positive,37
100kb,znf804b,sig. negative,1
100kb,znf804b,sig. positive,7
100kb,znf827,sig. positive,21
100kb,znf831,sig. negative,1
100kb,znf831,sig. positive,1
100kb,znf839,sig. positive,1
100kb,znf865,sig. negative,1
100kb,znf865,sig. positive,2
100kb,znf970,sig. negative,2
100kb,znf970,sig. positive,3
100kb,znf971,sig. positive,2
100kb,znf977,sig. negative,1
100kb,znf989,sig. negative,1
100kb,znf989,sig. positive,4
100kb,znf990,sig. positive,5
100kb,znfl1,sig. positive,28
100kb,znfl1b,sig. positive,3
100kb,znfl1g,sig. positive,9
100kb,znfl2a,sig. positive,22
100kb,znfx1,sig. positive,5
100kb,znhit2,sig. positive,1
100kb,znhit3,sig. negative,1
100kb,znhit3,sig. positive,6
100kb,znhit6,sig. positive,2
100kb,znrd2,sig. negative,1
100kb,znrd2,sig. positive,1
100kb,znrf1,sig. positive,3
100kb,znrf2a,sig. negative,2
100kb,znrf2a,sig. positive,2
100kb,znrf2b,sig. negative,1
100kb,znrf2b,sig. positive,17
100kb,znrf3,sig. negative,1
100kb,znrf3,sig. positive,40
100kb,zp2.1,sig. negative,1
100kb,zp2.1,sig. positive,3
100kb,zp2.3,sig. negative,1
100kb,zp2.3,sig. positive,5
100kb,zp2.5,sig. negative,1
100kb,zp2.5,sig. positive,6
100kb,zp2.6,sig. negative,2
100kb,zp2.6,sig. positive,3
100kb,zp2l1,sig. positive,2
100kb,zp2l2,sig. negative,1
100kb,zp3,sig. positive,4
100kb,zp3.2,sig. negative,1
100kb,zp3.2,sig. positive,10
100kb,zp3a.1,sig. negative,1
100kb,zp3a.2,sig. positive,1
100kb,zp3b,sig. negative,2
100kb,zp3b,sig. positive,1
100kb,zp3c,sig. positive,9
100kb,zp3d.2,sig. positive,7
100kb,zp3e,sig. positive,7
100kb,zp3f.1,sig. positive,11
100kb,zp3f.2,sig. positive,2
100kb,zpax1,sig. positive,4
100kb,zpax4,sig. positive,1
100kb,zpcx,sig. positive,2
100kb,zpld1b,sig. negative,1
100kb,zpld1b,sig. positive,1
100kb,zpr1,sig. positive,10
100kb,zranb1a,sig. positive,21
100kb,zranb1b,sig. positive,9
100kb,zranb2,sig. negative,2
100kb,zranb2,sig. positive,1
100kb,zranb3,sig. positive,20
100kb,zrsr2,sig. positive,14
100kb,zswim2,sig. positive,3
100kb,zswim5,sig. negative,1
100kb,zswim5,sig. positive,26
100kb,zswim6,sig. negative,1
100kb,zswim6,sig. positive,5
100kb,zswim7,sig. negative,1
100kb,zswim7,sig. positive,2
100kb,zswim8,sig. negative,2
100kb,zswim8,sig. positive,4
100kb,zte38,sig. positive,3
100kb,zufsp,sig. negative,1
