window,gene,category,count,count_ols
100kb,ano9b,sig. negative,3,3
100kb,ano9b,sig. positive,3,3
100kb,anxa11b,sig. negative,4,4
100kb,anxa11b,sig. positive,3,3
100kb,anxa1d,sig. negative,13,13
100kb,anxa1d,sig. positive,13,13
100kb,ap2a1,sig. negative,10,10
100kb,ap2a1,sig. positive,10,10
100kb,ap3m2,sig. negative,10,10
100kb,ap3m2,sig. positive,15,15
100kb,apba1b,sig. negative,14,14
100kb,apba1b,sig. positive,18,18
100kb,apbb1,sig. negative,15,15
100kb,apbb1,sig. positive,16,16
100kb,apln,sig. negative,10,10
100kb,apln,sig. positive,14,14
100kb,aplnra,sig. positive,2,2
100kb,apof,sig. negative,8,8
100kb,apof,sig. positive,5,5
100kb,aqp1a.2,sig. negative,2,2
100kb,aqp3a,sig. negative,18,18
100kb,aqp3a,sig. positive,19,19
100kb,araf,sig. negative,8,8
100kb,araf,sig. positive,11,11
100kb,arap1a,sig. negative,8,8
100kb,arap1a,sig. positive,9,9
100kb,areg,sig. negative,12,12
100kb,areg,sig. positive,9,9
100kb,arf3b,sig. negative,13,13
100kb,arf3b,sig. positive,12,12
100kb,arhgap19,sig. negative,10,10
100kb,arhgap19,sig. positive,14,14
100kb,arhgap23a,sig. negative,10,10
100kb,arhgap23a,sig. positive,7,7
100kb,arhgap23b,sig. negative,19,19
100kb,arhgap23b,sig. positive,16,16
100kb,arhgap29b,sig. negative,11,11
100kb,arhgap29b,sig. positive,13,13
100kb,arhgap31,sig. negative,2,2
100kb,arhgap32b,sig. negative,12,12
100kb,arhgap32b,sig. positive,9,9
100kb,arhgap35a,sig. negative,15,15
100kb,arhgap35a,sig. positive,14,14
100kb,arhgap39,sig. negative,6,6
100kb,arhgap39,sig. positive,7,7
100kb,arhgap45a,sig. negative,5,5
100kb,arhgap45a,sig. positive,7,7
100kb,arhgdig,sig. negative,14,14
100kb,arhgdig,sig. positive,11,11
100kb,arhgef10lb,sig. negative,5,5
100kb,arhgef10lb,sig. positive,1,1
100kb,arhgef18a,sig. negative,9,9
100kb,arhgef18a,sig. positive,19,19
100kb,arhgef4,sig. positive,1,1
100kb,arid2,sig. negative,1,1
100kb,arid2,sig. positive,3,3
100kb,arid6,sig. negative,1,1
100kb,arid6,sig. positive,1,1
100kb,arl1,sig. negative,4,4
100kb,arl1,sig. positive,3,3
100kb,arl3b,sig. negative,14,14
100kb,arl3b,sig. positive,11,11
100kb,armc10,sig. negative,5,5
100kb,armc10,sig. positive,3,3
100kb,asb11,sig. negative,1,1
100kb,asb11,sig. positive,5,5
100kb,asb15b,sig. negative,12,12
100kb,asb15b,sig. positive,8,8
100kb,asb5a,sig. negative,15,15
100kb,asb5a,sig. positive,17,17
100kb,asf1ba,sig. negative,17,17
100kb,asf1ba,sig. positive,17,17
100kb,ash1l,sig. negative,9,9
100kb,ash1l,sig. positive,6,6
100kb,asl,sig. negative,4,4
100kb,asl,sig. positive,6,6
100kb,aspn,sig. negative,14,14
100kb,aspn,sig. positive,12,12
100kb,astn1,sig. negative,8,8
100kb,astn1,sig. positive,10,10
