window,gene,category,count,count_ols
10kb,fbxo7,sig. negative,2,2
10kb,fbxo7,sig. positive,2,2
10kb,fbxw4,sig. negative,1,1
10kb,fbxw5,sig. negative,1,1
10kb,fbxw5,sig. positive,1,1
10kb,fbxw7,sig. positive,1,1
10kb,fcf1,sig. positive,1,1
10kb,fcho1,sig. negative,1,1
10kb,fcho1,sig. positive,1,1
10kb,fdft1,sig. negative,2,2
10kb,fdx2,sig. negative,1,1
10kb,fdxacb1,sig. negative,1,1
10kb,fdxacb1,sig. positive,1,1
10kb,fdxr,sig. negative,2,2
10kb,fdxr,sig. positive,2,2
10kb,fer1l4,sig. negative,1,1
10kb,ferd3l,sig. negative,1,1
10kb,ferd3l,sig. positive,2,2
10kb,fermt2,sig. negative,1,1
10kb,fermt3a,sig. negative,1,1
10kb,fermt3a,sig. positive,2,2
10kb,fermt3b,sig. positive,1,1
10kb,fes,sig. positive,1,1
10kb,fgb,sig. positive,1,1
10kb,fgf10a,sig. negative,3,3
10kb,fgf10a,sig. positive,2,2
10kb,fgf17,sig. negative,1,1
10kb,fgf17,sig. positive,1,1
10kb,fgf20a,sig. negative,1,1
10kb,fgf20a,sig. positive,1,1
10kb,fgf23,sig. negative,1,1
10kb,fgf24,sig. positive,1,1
10kb,fgf4,sig. positive,1,1
10kb,fgf7,sig. positive,2,2
10kb,fgf8b,sig. positive,1,1
10kb,fgfr1a,sig. negative,3,3
10kb,fgfr1a,sig. positive,2,2
10kb,fgfr1b,sig. negative,1,1
10kb,fgfr1b,sig. positive,1,1
10kb,fgfr1bl,sig. positive,2,2
10kb,fgfr3,sig. negative,1,1
10kb,fgfr3,sig. positive,1,1
10kb,fgfr4,sig. negative,1,1
10kb,fgfrl1b,sig. positive,1,1
10kb,fggy,sig. positive,1,1
10kb,fgl2b,sig. negative,1,1
10kb,fhdc2,sig. negative,1,1
10kb,fhdc3,sig. negative,1,1
10kb,fhit,sig. negative,1,1
10kb,fhit,sig. positive,1,1
10kb,fhl2a,sig. positive,2,2
10kb,fhod3a,sig. negative,1,1
10kb,fibina,sig. negative,1,1
10kb,ficd,sig. positive,1,1
10kb,fignl1,sig. negative,1,1
10kb,fignl1,sig. positive,1,1
10kb,fip1l1a,sig. positive,1,1
10kb,fitm1l,sig. positive,1,1
10kb,fjx1,sig. negative,1,1
10kb,fkbp10a,sig. positive,2,2
10kb,fkbp10b,sig. positive,1,1
10kb,fkbp1b,sig. negative,1,1
10kb,fkbp1b,sig. positive,1,1
10kb,fkbp4,sig. negative,1,1
10kb,fkbp4,sig. positive,1,1
10kb,fkbp5,sig. positive,2,2
10kb,fkbp8,sig. positive,1,1
10kb,flad1,sig. negative,1,1
10kb,flad1,sig. positive,1,1
10kb,flcn,sig. positive,1,1
10kb,flnca,sig. negative,3,3
10kb,flnca,sig. positive,2,2
10kb,flot1a,sig. negative,1,1
10kb,flot1a,sig. positive,1,1
10kb,flot2a,sig. positive,1,1
10kb,flot2b,sig. positive,1,1
10kb,flrt1b,sig. positive,1,1
10kb,flrt2,sig. negative,1,1
10kb,flrt2,sig. positive,1,1
10kb,flt1,sig. negative,1,1
10kb,flt1,sig. positive,2,2
10kb,flt4,sig. negative,1,1
10kb,flt4,sig. positive,2,2
10kb,fmnl1a,sig. negative,1,1
10kb,fmodb,sig. positive,1,1
10kb,fmr1,sig. negative,1,1
10kb,fn3krp,sig. positive,1,1
10kb,fnbp1l,sig. negative,1,1
10kb,fnbp4,sig. negative,1,1
10kb,fndc1,sig. positive,1,1
10kb,fndc3a,sig. negative,2,2
10kb,fndc5a,sig. negative,1,1
10kb,fndc7rs1,sig. negative,1,1
10kb,fosaa,sig. negative,1,1
10kb,fosaa,sig. positive,1,1
10kb,fosl1b,sig. positive,1,1
10kb,fosl2,sig. negative,1,1
10kb,foxa,sig. negative,1,1
10kb,foxc1b,sig. positive,1,1
10kb,foxd3,sig. negative,1,1
10kb,foxe1,sig. negative,2,2
10kb,foxe1,sig. positive,2,2
10kb,foxg1a,sig. positive,1,1
10kb,foxg1b,sig. negative,1,1
10kb,foxi2,sig. positive,1,1
10kb,foxi3b,sig. negative,1,1
10kb,foxj3,sig. positive,1,1
10kb,foxl1,sig. negative,2,2
10kb,foxl1,sig. positive,1,1
10kb,foxl2b,sig. negative,1,1
10kb,foxm1,sig. negative,2,2
10kb,foxm1,sig. positive,1,1
10kb,foxn1,sig. negative,1,1
10kb,foxn2b,sig. negative,1,1
10kb,foxn2b,sig. positive,1,1
10kb,foxn4,sig. negative,1,1
10kb,foxo1b,sig. positive,1,1
10kb,foxq2,sig. negative,1,1
10kb,foxr1,sig. positive,1,1
10kb,foxred1,sig. positive,1,1
10kb,fra10ac1,sig. positive,1,1
10kb,frmd7,sig. positive,1,1
10kb,frmd8,sig. positive,1,1
10kb,frrs1a,sig. negative,1,1
10kb,frrs1a,sig. positive,1,1
10kb,frrs1l,sig. negative,1,1
10kb,frrs1l,sig. positive,1,1
10kb,frzb,sig. negative,2,2
10kb,frzb,sig. positive,2,2
10kb,fscn1a,sig. negative,2,2
10kb,fscn1a,sig. positive,1,1
10kb,fscn2a,sig. negative,1,1
10kb,fscn2a,sig. positive,1,1
10kb,fshb,sig. negative,1,1
10kb,fsta,sig. negative,2,2
10kb,fsta,sig. positive,2,2
10kb,fstl1a,sig. negative,1,1
10kb,ft1,sig. negative,1,1
10kb,ft1,sig. positive,1,1
10kb,ftcd,sig. negative,2,2
10kb,fthl28,sig. positive,1,1
10kb,fthl29,sig. negative,2,2
10kb,fthl29,sig. positive,2,2
10kb,fto,sig. negative,2,2
10kb,fto,sig. positive,1,1
10kb,ftr11,sig. negative,1,1
10kb,ftr19,sig. positive,1,1
10kb,ftr24,sig. positive,1,1
10kb,ftr26,sig. positive,1,1
10kb,ftr33,sig. negative,1,1
10kb,ftr39p,sig. negative,1,1
10kb,ftr50,sig. positive,1,1
10kb,ftr51,sig. negative,1,1
10kb,ftr51,sig. positive,1,1
10kb,ftr54,sig. negative,1,1
10kb,ftr54,sig. positive,2,2
10kb,ftr58,sig. positive,1,1
10kb,ftr59,sig. negative,1,1
10kb,ftr59,sig. positive,1,1
10kb,ftr64,sig. negative,1,1
10kb,ftr66,sig. positive,1,1
10kb,ftr70,sig. negative,1,1
10kb,ftr72,sig. positive,1,1
10kb,ftr79,sig. positive,1,1
10kb,ftr80,sig. negative,3,3
10kb,ftr93,sig. positive,1,1
10kb,ftsj3,sig. negative,1,1
10kb,fuca1.1,sig. positive,1,1
10kb,fuca1.2,sig. negative,1,1
10kb,fuca1.2,sig. positive,2,2
10kb,fuom,sig. negative,1,1
10kb,furina,sig. positive,1,1
10kb,furinb,sig. positive,1,1
10kb,fuz,sig. negative,1,1
10kb,fxr2,sig. negative,1,1
10kb,fxr2,sig. positive,1,1
10kb,fxyd6,sig. positive,3,3
10kb,fxyd6l,sig. negative,1,1
10kb,fxyd6l,sig. positive,2,2
10kb,fynb,sig. positive,1,1
10kb,fzd10,sig. negative,1,1
10kb,fzd10,sig. positive,1,1
10kb,fzd3b,sig. negative,1,1
10kb,fzd5,sig. positive,1,1
10kb,fzd8a,sig. negative,1,1
10kb,fzd9a,sig. negative,1,1
10kb,fzd9b,sig. negative,1,1
10kb,fzd9b,sig. positive,1,1
10kb,fzr1a,sig. negative,1,1
10kb,fzr1a,sig. positive,2,2
10kb,fzr1b,sig. negative,1,1
10kb,g2e3,sig. positive,1,1
10kb,g6pd,sig. positive,1,1
10kb,gab1,sig. negative,1,1
10kb,gab1,sig. positive,1,1
10kb,gabarapa,sig. positive,1,1
10kb,gabbr1a,sig. negative,2,2
10kb,gabbr1b,sig. positive,1,1
10kb,gabpb1,sig. positive,1,1
10kb,gabra5,sig. negative,1,1
10kb,gabrb2a,sig. negative,1,1
10kb,gabrb2a,sig. positive,1,1
10kb,gabrb3,sig. negative,1,1
10kb,gabrb3,sig. positive,2,2
10kb,gabrg2,sig. negative,2,2
10kb,gabrr2a,sig. negative,1,1
10kb,gabrr2a,sig. positive,1,1
10kb,gabrr2b,sig. negative,1,1
10kb,gabrz,sig. positive,1,1
10kb,gad1a,sig. negative,1,1
10kb,gadd45ba,sig. negative,2,2
10kb,gadd45ga,sig. negative,2,2
10kb,gal3st1a,sig. positive,1,1
10kb,gal3st3,sig. negative,1,1
10kb,gal3st3,sig. positive,1,1
10kb,galca,sig. negative,1,1
10kb,galm,sig. positive,1,1
10kb,galnt10,sig. negative,1,1
10kb,galnt10,sig. positive,1,1
10kb,galnt18a,sig. negative,1,1
10kb,galnt18b,sig. negative,1,1
10kb,galnt8a.2,sig. negative,1,1
10kb,galnt8a.2,sig. positive,1,1
10kb,galr1a,sig. negative,1,1
10kb,galr1a,sig. positive,1,1
10kb,galr2b,sig. negative,1,1
10kb,gamt,sig. negative,1,1
10kb,gamt,sig. positive,1,1
10kb,gap43,sig. negative,1,1
10kb,gap43,sig. positive,1,1
10kb,gapdhs,sig. positive,2,2
10kb,gas2b,sig. negative,1,1
10kb,gas2b,sig. positive,1,1
10kb,gas2l3,sig. negative,1,1
10kb,gas6,sig. negative,2,2
10kb,gas8,sig. negative,2,2
10kb,gas8,sig. positive,1,1
10kb,gask1a,sig. positive,1,1
10kb,gata1a,sig. negative,1,1
10kb,gata1b,sig. negative,1,1
10kb,gata1b,sig. positive,1,1
10kb,gata5,sig. negative,1,1
10kb,gb:ai877918,sig. positive,1,1
10kb,gba3,sig. negative,1,1
10kb,gba3,sig. positive,1,1
10kb,gbe1a,sig. negative,1,1
10kb,gbe1a,sig. positive,1,1
10kb,gbgt1l4,sig. negative,1,1
10kb,gbp2,sig. negative,1,1
10kb,gbp3,sig. negative,1,1
10kb,gbp3,sig. positive,1,1
10kb,gc,sig. positive,1,1
10kb,gcat,sig. negative,1,1
10kb,gcdha,sig. positive,1,1
10kb,gcdhb,sig. positive,1,1
10kb,gcgb,sig. negative,2,2
10kb,gcgb,sig. positive,1,1
10kb,gcgrb,sig. negative,1,1
10kb,gch1,sig. positive,1,1
10kb,gchfr,sig. negative,1,1
10kb,gck,sig. negative,2,2
10kb,gclc,sig. positive,1,1
10kb,gda,sig. negative,1,1
10kb,gdap1,sig. positive,1,1
10kb,gdf9,sig. negative,1,1
10kb,gdpd1,sig. negative,1,1
10kb,gdpd1,sig. positive,1,1
10kb,gemin7,sig. positive,1,1
10kb,get4,sig. negative,1,1
10kb,gfer,sig. negative,1,1
10kb,gfm1,sig. positive,1,1
10kb,gfpt1,sig. negative,2,2
10kb,gfpt1,sig. positive,2,2
10kb,gfpt2,sig. positive,1,1
10kb,gfral,sig. positive,1,1
10kb,gga3b,sig. negative,1,1
10kb,ggact.1,sig. negative,1,1
10kb,ggact.1,sig. positive,1,1
10kb,ggact.2,sig. negative,1,1
10kb,ggact.2,sig. positive,1,1
10kb,ggact.3,sig. positive,2,2
10kb,ggnbp2,sig. positive,1,1
10kb,ggt1a,sig. negative,2,2
10kb,ghrb,sig. negative,1,1
10kb,ghrb,sig. positive,1,1
10kb,ghrh,sig. negative,1,1
10kb,ghrhr2,sig. negative,2,2
10kb,ghrhra,sig. negative,2,2
10kb,ghrhra,sig. positive,1,1
10kb,ghrhrl,sig. negative,3,3
10kb,ghrhrl,sig. positive,2,2
10kb,ghsra,sig. negative,1,1
10kb,gid8a,sig. positive,1,1
10kb,gig2f,sig. negative,1,1
10kb,gig2f,sig. positive,1,1
10kb,gig2k,sig. negative,1,1
10kb,gig2k,sig. positive,1,1
10kb,gig2o,sig. negative,1,1
10kb,gig2p,sig. negative,1,1
10kb,gigyf2,sig. positive,1,1
10kb,ginm1,sig. positive,1,1
10kb,gins2,sig. positive,1,1
10kb,gipr,sig. negative,1,1
10kb,gipr,sig. positive,2,2
10kb,git1,sig. negative,2,2
10kb,git1,sig. positive,1,1
10kb,git2b,sig. positive,1,1
10kb,gja5a,sig. negative,1,1
10kb,gja5a,sig. positive,1,1
10kb,gja8a,sig. positive,1,1
10kb,gjd1a,sig. positive,1,1
10kb,gjd2b,sig. negative,1,1
10kb,glb1,sig. positive,1,1
10kb,glcci1a,sig. negative,1,1
10kb,glcci1a,sig. positive,1,1
10kb,glceb,sig. negative,1,1
10kb,gle1,sig. positive,1,1
10kb,gli2a,sig. negative,1,1
10kb,gli2a,sig. positive,1,1
10kb,glipr1a,sig. negative,1,1
10kb,glipr1b,sig. negative,1,1
10kb,glipr1b,sig. positive,2,2
10kb,glipr2l,sig. negative,1,1
10kb,glmna,sig. negative,1,1
10kb,glo1,sig. positive,1,1
10kb,glod4,sig. positive,1,1
10kb,glra2,sig. negative,1,1
10kb,glra4a,sig. negative,1,1
10kb,glra4a,sig. positive,1,1
10kb,glra4b,sig. negative,2,2
10kb,glra4b,sig. positive,2,2
10kb,glrx5,sig. negative,1,1
10kb,glrx5,sig. positive,2,2
10kb,glt8d2,sig. negative,1,1
10kb,gmeb1,sig. positive,1,1
10kb,gmfb,sig. negative,1,1
10kb,gmnc,sig. negative,1,1
10kb,gmpr,sig. positive,1,1
10kb,gmpr2,sig. positive,1,1
10kb,gna11a,sig. negative,1,1
10kb,gna12a,sig. positive,1,1
10kb,gna13a,sig. negative,1,1
10kb,gna14,sig. positive,1,1
10kb,gna15.4,sig. negative,1,1
10kb,gnaia,sig. positive,1,1
10kb,gnal,sig. positive,1,1
10kb,gnao1b,sig. negative,1,1
10kb,gnaq,sig. positive,1,1
10kb,gnat2,sig. negative,1,1
10kb,gnat2,sig. positive,1,1
10kb,gnb1b,sig. positive,1,1
10kb,gnb4b,sig. negative,1,1
10kb,gng3,sig. negative,1,1
10kb,gng7,sig. negative,1,1
10kb,gngt1,sig. negative,2,2
10kb,gnl1,sig. positive,1,1
10kb,gnl3,sig. positive,1,1
10kb,gnl3l,sig. positive,1,1
10kb,gnpda1,sig. negative,1,1
10kb,gnpda1,sig. positive,1,1
10kb,gnptab,sig. negative,1,1
10kb,golga1,sig. negative,1,1
10kb,golga5,sig. positive,1,1
10kb,golim4b,sig. positive,1,1
10kb,golt1ba,sig. positive,1,1
10kb,gorasp2,sig. negative,1,1
10kb,gorasp2,sig. positive,1,1
10kb,gpa33b,sig. negative,1,1
10kb,gpat3,sig. negative,1,1
10kb,gpatch4,sig. negative,1,1
10kb,gpatch4,sig. positive,3,3
10kb,gpc1b,sig. positive,1,1
10kb,gpc2,sig. positive,1,1
10kb,gpc3,sig. negative,1,1
10kb,gpc5a,sig. positive,2,2
10kb,gpc5c,sig. positive,1,1
10kb,gpd1c,sig. negative,1,1
10kb,gpd1c,sig. positive,1,1
10kb,gper1,sig. positive,1,1
10kb,gphna,sig. negative,1,1
10kb,gpia,sig. positive,1,1
10kb,gpm6aa,sig. positive,2,2
10kb,gpm6ba,sig. positive,1,1
10kb,gpn1,sig. negative,1,1
10kb,gpn2,sig. negative,1,1
10kb,gpn2,sig. positive,1,1
10kb,gpr101,sig. negative,1,1
10kb,gpr12,sig. negative,1,1
10kb,gpr132b,sig. positive,1,1
10kb,gpr139,sig. negative,1,1
10kb,gpr143,sig. negative,1,1
10kb,gpr146,sig. negative,1,1
10kb,gpr158a,sig. positive,1,1
10kb,gpr18,sig. negative,1,1
10kb,gpr18,sig. positive,2,2
10kb,gpr182,sig. positive,1,1
10kb,gpr184,sig. negative,2,2
10kb,gpr185b,sig. negative,2,2
10kb,gpr20,sig. negative,1,1
10kb,gpr22b,sig. negative,1,1
10kb,gpr22b,sig. positive,1,1
10kb,gpr26,sig. negative,1,1
10kb,gpr27,sig. positive,1,1
10kb,gpr34b,sig. negative,1,1
10kb,gpr34b,sig. positive,1,1
10kb,gpr35.1,sig. negative,2,2
10kb,gpr37a,sig. positive,1,1
10kb,gpr4,sig. positive,1,1
10kb,gpr63,sig. negative,1,1
10kb,gpr75,sig. negative,1,1
10kb,gpr78b,sig. negative,1,1
10kb,gpr84,sig. negative,3,3
10kb,gpr85,sig. negative,1,1
10kb,gpr85,sig. positive,1,1
10kb,gpsm1b,sig. negative,1,1
10kb,gpsm2,sig. negative,1,1
10kb,gpsm2l,sig. positive,2,2
10kb,gpx1b,sig. negative,1,1
10kb,gpx1b,sig. positive,2,2
10kb,gpx4b,sig. negative,1,1
10kb,gpx8,sig. positive,1,1
10kb,gramd1c,sig. positive,1,1
10kb,grap2b,sig. positive,2,2
10kb,grb10a,sig. negative,1,1
10kb,grb10b,sig. positive,1,1
10kb,grb7,sig. negative,1,1
10kb,greb1l,sig. negative,2,2
10kb,grhl2a,sig. positive,1,1
10kb,grhl2b,sig. negative,2,2
10kb,grhl2b,sig. positive,2,2
10kb,grhl3,sig. negative,1,1
10kb,gria2b,sig. positive,1,1
10kb,gria3a,sig. positive,1,1
10kb,gria4a,sig. negative,1,1
10kb,gria4a,sig. positive,1,1
10kb,grid2ipb,sig. negative,1,1
10kb,grik5,sig. negative,1,1
10kb,grin1a,sig. positive,1,1
10kb,grin2bb,sig. negative,1,1
10kb,grin2bb,sig. positive,1,1
10kb,grin2cb,sig. negative,1,1
10kb,grin2cb,sig. positive,2,2
10kb,grin2da,sig. negative,1,1
10kb,grinaa,sig. negative,1,1
10kb,grinaa,sig. positive,2,2
10kb,grinab,sig. negative,1,1
10kb,grinab,sig. positive,1,1
10kb,gripap1,sig. negative,2,2
10kb,gripap1,sig. positive,2,2
10kb,grk1a,sig. negative,1,1
10kb,grk1a,sig. positive,1,1
10kb,grk4,sig. negative,1,1
10kb,grk4,sig. positive,2,2
10kb,grk5,sig. negative,1,1
10kb,grk7b,sig. positive,1,1
10kb,grm1a,sig. positive,1,1
10kb,grm1b,sig. negative,2,2
10kb,grm2a,sig. negative,1,1
10kb,grm2b,sig. positive,1,1
10kb,grm6b,sig. negative,1,1
10kb,grm8a,sig. negative,1,1
10kb,grm8b,sig. positive,1,1
10kb,grnas,sig. positive,1,1
10kb,grnb,sig. positive,1,1
10kb,grtp1b,sig. positive,1,1
10kb,grxcr1a,sig. negative,1,1
10kb,grxcr1a,sig. positive,2,2
10kb,gsap,sig. positive,1,1
10kb,gsc,sig. negative,2,2
10kb,gsc,sig. positive,3,3
10kb,gsdf,sig. positive,1,1
10kb,gsk3ba,sig. negative,1,1
10kb,gsk3bb,sig. negative,1,1
10kb,gspt1l,sig. negative,1,1
10kb,gspt1l,sig. positive,1,1
10kb,gsr,sig. negative,1,1
10kb,gsta.2,sig. negative,1,1
10kb,gstcd,sig. negative,2,2
10kb,gstk1,sig. negative,1,1
10kb,gstm.2,sig. negative,1,1
10kb,gsto1,sig. negative,1,1
10kb,gstr,sig. negative,1,1
10kb,gstt1a,sig. positive,1,1
10kb,gstt1b,sig. negative,1,1
10kb,gstt1b,sig. positive,1,1
10kb,gtdc1,sig. negative,1,1
10kb,gtf2a1l,sig. positive,1,1
10kb,gtf2e2,sig. negative,1,1
10kb,gtf2h1,sig. negative,1,1
10kb,gtf2h1,sig. positive,2,2
10kb,gtf2h3,sig. negative,3,3
10kb,gtf2h3,sig. positive,1,1
10kb,gtf2h5,sig. positive,1,1
10kb,gtf2ird1,sig. positive,1,1
10kb,gtf3c2,sig. negative,2,2
10kb,gtf3c2,sig. positive,1,1
10kb,gtf3c3,sig. negative,1,1
10kb,gtf3c4,sig. negative,1,1
10kb,gtf3c4,sig. positive,1,1
10kb,gtf3c5,sig. negative,1,1
10kb,gtf3c5,sig. positive,1,1
10kb,gtpbp1,sig. negative,2,2
10kb,gtpbp1,sig. positive,1,1
10kb,gtpbp1l,sig. negative,1,1
10kb,gtpbp1l,sig. positive,1,1
10kb,gtpbp4,sig. negative,1,1
10kb,gtse1,sig. positive,1,1
10kb,gucd1,sig. negative,2,2
10kb,gucd1,sig. positive,2,2
10kb,gucy2d,sig. negative,1,1
10kb,guf1,sig. positive,1,1
10kb,guk1b,sig. negative,1,1
10kb,guk1b,sig. positive,1,1
10kb,gulp1b,sig. negative,1,1
10kb,h1-10,sig. negative,1,1
10kb,h1m,sig. negative,1,1
10kb,h1m,sig. positive,2,2
10kb,h2ax,sig. negative,1,1
10kb,h3f3b.1,sig. positive,2,2
10kb,h3f3c,sig. negative,1,1
10kb,h6pd,sig. negative,1,1
10kb,habp2,sig. negative,1,1
10kb,hacd1,sig. negative,1,1
10kb,hacd2,sig. negative,1,1
10kb,hagh,sig. negative,1,1
10kb,hagh,sig. positive,1,1
10kb,hao2,sig. positive,1,1
10kb,hapln1a,sig. negative,2,2
10kb,hapln1a,sig. positive,2,2
10kb,hapln3,sig. positive,1,1
10kb,harbi1,sig. positive,1,1
10kb,haus3,sig. negative,1,1
10kb,haus4,sig. negative,2,2
10kb,haus4,sig. positive,2,2
10kb,haus5,sig. positive,1,1
10kb,haus6,sig. negative,1,1
10kb,haus6,sig. positive,1,1
10kb,havcr1,sig. negative,1,1
10kb,havcr1,sig. positive,1,1
10kb,havcr2,sig. positive,1,1
10kb,hax1,sig. negative,1,1
10kb,hax1,sig. positive,1,1
10kb,hbaa1,sig. positive,1,1
10kb,hbaa2,sig. positive,1,1
10kb,hbae3,sig. negative,2,2
10kb,hbae3,sig. positive,1,1
10kb,hbbe1.1,sig. negative,1,1
10kb,hbbe1.1,sig. positive,1,1
10kb,hbbe3,sig. positive,1,1
10kb,hbegfb,sig. positive,1,1
10kb,hbl4,sig. negative,1,1
10kb,hccsa.1,sig. negative,1,1
10kb,hcn3,sig. negative,1,1
10kb,hcn4l,sig. positive,1,1
10kb,hcrtr2,sig. negative,3,3
10kb,hdac11,sig. negative,1,1
10kb,hdac12,sig. negative,1,1
10kb,hdac4,sig. negative,1,1
10kb,hdac4,sig. positive,2,2
10kb,hdac7b,sig. negative,1,1
10kb,hdac8,sig. negative,1,1
10kb,hddc2,sig. negative,1,1
10kb,hddc3,sig. positive,1,1
10kb,hdlbpa,sig. negative,1,1
10kb,hdlbpa,sig. positive,2,2
10kb,hdlbpb,sig. negative,1,1
10kb,hdx,sig. negative,1,1
10kb,hdx,sig. positive,1,1
10kb,he1.3,sig. positive,1,1
10kb,heatr1,sig. positive,1,1
10kb,heatr3,sig. negative,1,1
10kb,heatr5b,sig. positive,1,1
10kb,hectd3,sig. positive,2,2
10kb,hecw1b,sig. positive,1,1
10kb,hecw2a,sig. negative,1,1
10kb,hecw2a,sig. positive,1,1
10kb,hecw2b,sig. positive,2,2
10kb,heg1,sig. positive,1,1
10kb,hells,sig. positive,1,1
10kb,helt,sig. positive,1,1
10kb,hemgn,sig. negative,1,1
10kb,hemk1,sig. negative,2,2
10kb,hephl1a,sig. negative,1,1
10kb,hephl1a,sig. positive,2,2
10kb,hephl1b,sig. negative,1,1
10kb,hephl1b,sig. positive,1,1
10kb,her15.1,sig. negative,1,1
10kb,her2,sig. positive,1,1
10kb,her4.3,sig. negative,1,1
10kb,her4.4,sig. negative,1,1
10kb,her8.2,sig. negative,1,1
10kb,herc1,sig. positive,1,1
10kb,herc3,sig. negative,1,1
10kb,herc4,sig. negative,1,1
10kb,herpud1,sig. negative,1,1
10kb,herpud2,sig. positive,1,1
10kb,hesx1,sig. negative,1,1
10kb,hesx1,sig. positive,1,1
10kb,hexim1,sig. positive,1,1
10kb,heyl,sig. negative,1,1
10kb,heyl,sig. positive,1,1
10kb,hfm1,sig. negative,1,1
10kb,hgs,sig. positive,1,1
10kb,hhatlb,sig. negative,1,1
10kb,hhatlb,sig. positive,1,1
10kb,hhipl2,sig. negative,1,1
10kb,hhla2b.1,sig. negative,2,2
10kb,hhla2b.1,sig. positive,1,1
10kb,hibadhb,sig. negative,1,1
10kb,hibadhb,sig. positive,1,1
10kb,hif1ab,sig. positive,1,1
10kb,hif1an,sig. positive,1,1
10kb,higd2a,sig. negative,2,2
10kb,higd2a,sig. positive,3,3
10kb,hikeshi,sig. negative,2,2
10kb,hinfp,sig. positive,1,1
10kb,hint1,sig. negative,1,1
10kb,hint3,sig. negative,1,1
10kb,hip1,sig. negative,1,1
10kb,hip1,sig. positive,1,1
10kb,hipk1a,sig. positive,1,1
10kb,hipk2,sig. negative,1,1
10kb,hipk2,sig. positive,1,1
10kb,hipk3a,sig. positive,1,1
10kb,hipk3b,sig. positive,1,1
10kb,hirip3,sig. positive,1,1
10kb,hist1h2a3,sig. negative,1,1
10kb,hist1h2a4,sig. positive,1,1
10kb,hist1h2a5,sig. negative,2,2
10kb,hist1h2a5,sig. positive,1,1
10kb,hist1h2a6,sig. negative,1,1
10kb,hist1h2a6,sig. positive,1,1
10kb,hist1h4l,sig. negative,1,1
10kb,hivep1,sig. negative,2,2
10kb,hivep2b,sig. negative,1,1
10kb,hk1,sig. negative,2,2
10kb,hk1,sig. positive,2,2
10kb,hkdc1,sig. negative,1,1
10kb,hlfa,sig. positive,1,1
10kb,hltf,sig. positive,1,1
10kb,hmga1a,sig. negative,1,1
10kb,hmga1a,sig. positive,1,1
10kb,hmga2,sig. negative,1,1
10kb,hmgcll1,sig. negative,1,1
10kb,hmgcra,sig. positive,1,1
10kb,hmgn2,sig. negative,1,1
10kb,hmgxb3,sig. negative,1,1
10kb,hmgxb4a,sig. positive,1,1
10kb,hmmr,sig. negative,1,1
10kb,hmox1a,sig. negative,1,1
10kb,hmox2a,sig. negative,1,1
10kb,hmx1,sig. negative,1,1
10kb,hnf1a,sig. negative,1,1
10kb,hnf1a,sig. positive,1,1
10kb,hnf1bb,sig. positive,1,1
10kb,hnf4a,sig. negative,1,1
10kb,hnmt,sig. negative,1,1
10kb,hnrnpaba,sig. positive,1,1
10kb,hnrnpc,sig. negative,1,1
10kb,hnrnpc,sig. positive,1,1
10kb,hnrnph1,sig. positive,1,1
10kb,hnrnpk,sig. negative,1,1
10kb,hnrnpk,sig. positive,1,1
10kb,hnrnpl,sig. positive,1,1
10kb,hnrnpr,sig. negative,2,2
10kb,hnrnpr,sig. positive,1,1
10kb,hnrnpub,sig. positive,1,1
10kb,hnrnpul1,sig. positive,1,1
10kb,hnrnpul1l,sig. negative,1,1
10kb,hnrnpul1l,sig. positive,1,1
10kb,hnrpkl,sig. positive,1,1
10kb,hook1,sig. negative,1,1
10kb,hook2,sig. negative,2,2
10kb,hoxa1a,sig. negative,1,1
10kb,hoxa2b,sig. negative,1,1
10kb,hoxa4a,sig. negative,1,1
10kb,hoxb1b,sig. negative,1,1
10kb,hoxb5a,sig. negative,1,1
10kb,hoxb5b,sig. negative,1,1
10kb,hoxb6a,sig. negative,1,1
10kb,hoxb8b,sig. negative,1,1
10kb,hoxb8b,sig. positive,1,1
10kb,hoxc12b,sig. negative,1,1
10kb,hoxc13b,sig. positive,1,1
10kb,hoxc4a,sig. negative,3,3
10kb,hoxc4a,sig. positive,2,2
10kb,hoxc5a,sig. positive,1,1
10kb,hoxc9a,sig. negative,1,1
10kb,hp,sig. negative,1,1
10kb,hp1bp3,sig. negative,1,1
10kb,hp1bp3,sig. positive,1,1
10kb,hpf1,sig. negative,1,1
10kb,hpf1,sig. positive,1,1
10kb,hprt1,sig. negative,1,1
10kb,hps3,sig. negative,1,1
10kb,hps3,sig. positive,1,1
10kb,hps4,sig. negative,2,2
10kb,hpse,sig. negative,1,1
10kb,hrasa,sig. negative,1,1
10kb,hrasa,sig. positive,1,1
10kb,hrasb,sig. positive,1,1
10kb,hrh2b,sig. positive,1,1
10kb,hs2st1a,sig. positive,1,1
10kb,hs3st3l,sig. positive,1,1
10kb,hs3st4,sig. negative,1,1
10kb,hs6st1a,sig. positive,2,2
10kb,hs6st1b,sig. negative,1,1
10kb,hs6st1b,sig. positive,1,1
10kb,hs6st2,sig. positive,1,1
10kb,hsbp1a,sig. negative,1,1
10kb,hsbp1b,sig. negative,1,1
10kb,hsbp1l1,sig. negative,1,1
10kb,hsc70,sig. negative,2,2
10kb,hsc70,sig. positive,1,1
10kb,hsd11b2,sig. positive,1,1
10kb,hsd17b10,sig. positive,2,2
10kb,hsd17b4,sig. positive,1,1
