filtered_gene_names
rpl24
cep97
nfkbiz
eed
hikeshi
tmem39a
ildr1a
gpa33a
f7l
f7
f7i
f10
prozb
pcid2
cul4a
lamp1a
grtp1a
adprhl1
dcun1d2b
tmco3
tfdp1b
grk1a
cenpe
gas6
pros1
rasa3
tpp2
ercc5
blzf1
trmt10c
txnl4b
si:ch73-41e3.7
mrpl16
mrpl39
jam2a
atp5pf
appa
cyyr1
adamts1
adamts5
n6amt1
gart
runx1
urp2
atp1a1a.4
atp1a1a.1
atp1a1a.2
atp1a1a.3
atp1a1a.5
si:ch211-132g1.3
si:ch211-132g1.4
si:ch211-132g1.1
slc5a3a
oxgr1a.1
oxgr1a.3
oxgr1a.2
mbnl2
rap2ab
kpnb3
farp1
si:ch211-235f1.3
ggact.3
ggact.2
ggact.1
gpc6a
gpc5a
dre-mir-19b
dre-mir-20a
dre-mir-19a
slitrk6
spry2
ndfip2
tuba8l2
stk16
mnx2b
atic
fn1b
cpo
nrp2a
pard3ba
abcb6a
cnppd1
prkag3a
retreg2
mdh1b
fastkd2
gtf3c3
hecw2b
klf7a
si:ch211-93g23.2
ube2f
erbb4a
lancl1
mylz3
pcnp
mxa
mxb
efnb2b
arglu1b
en1b
radil
si:dkeyp-9d4.3
grapb
cacna1hb
syngr3b
myo15ab
alkbh5
mief2
smcr8b
zgc:112980
ptcd1
fbxl18
actb1
fscn1b
abcg2b
grin2ab
socs1b
si:ch73-191k20.3
tlr2
prkcba
cacng3a
si:ch211-14k19.8
ndufab1a
palb2
rasd3
plk1
ern2
chtf18
gng13a
si:dkeyp-57d7.4
zgc:136472
ubn1
uncx4.1
micall2b
elfn1b
ugt5b5
ugt5b4
ugt5b2
ugt5b1
mad1l1
pmm2
rgs11
pgap6
pdia2
si:dkeyp-75b4.8
trim2b
rnf175
fgb
fga
lratb.1
lratb.2
rbm46
npy2rl
eif3f
zgc:77880
pip4p1b
dachb
cnpy3
trpc5a
zgc:174945
si:dkey-31e10.1
si:dkey-31e10.5
atp1b1b
crfb15
dmd
knl1
knstrn
sdk1b
brat1
eif3bb
si:dkey-26i13.8
chst12b.1
ttyh3b
iqce
snx8b
grk4
tspan5b
slc24a2
saraf
pla2g12a
xpa
mttp
spink4
b4galt1
stra6l
tdrd7a
tmod1
gne
nansa
clta
sclt1
pcdh10a
pcdh18a
noctb
elf2b
hpf1
ank2a
camk2d2
cxcl8a
pde5aa
ppp2r2ca
wfs1a
crmp1
fip1l1b
chic2
slc34a2a
rbpja
stim2a
si:dkey-194g4.1
pcdh7a
itln1
hgsnat
pi4k2b
dlc1
tusc3
fgf20a
micu3a
vps37a
mtmr7b
mtus1b
pcm1
asah1b
frg1
fat1a
casp3a
acsl1a
helt
slc25a4
cfap97
ankrd37
ufsp2
si:dkey-256e7.8
pdlim3a
sorbs2a
tlr3
mtnr1aa
klhl5
si:dkey-192k22.2
fam114a1
klf3
tbc1d1
pgm2
tmsb5
slc25a51a
zgc:195282
rnf38
limch1a
phox2ba
exosc9
ptpn9b
ptprdb
si:dkeyp-118a3.2
tyrp1b
rbm47
lap3
clockb
kitb
clrn2
smc2
ecpas
fbxo10
polr1e
tmem192
apela
tma16
grhprb
apbb2b
mettl14
prss12
ndst3
ugt8
spock3
tll1
cpe
msmo1
klhl2
npy1r
med28
tmem144a
gria2a
glrba
wdr19
ncapd3
primpol
adamtsl7
zcchc7
si:ch211-134c9.2
pax5
melk
kdm4c
dnah6
chrnb3a
chrna6
chrnb5a
uchl1
anxa5b
fgfbp1b
fgfbp2b
zmynd10
prom1b
tapt1b
ldb2b
gtf2e2
adgrl3.1
si:dkey-92j12.5
rfc1
rpl9
lias
ugdh
smim14
ube2kb
pds5a
n4bp2
rhoh
fam184b
ncapg
lcorl
slit2
lrba
mab21l2
rps3a
sh3d19
gatb
dctpp1
fbxw7
tmem154
mnd1
tmem131l
trim2a
fhdc1
arfip1
sfrp2
plrg1
fgg
lrata
si:dkey-30k22.5
npy2r
map9
gucy1a1
gucy1b1
fabp2
