ptpn12	False	False	395	0.00424060404813773	99.58228463864978	401.0
phtf2	False	False	342	0.0036483999915399423	99.63833252257778	345.0
phtf2.1	False	False	715	0.007688077663331994	99.2438823205939	727.0
CU856344.1	False	False	58	0.0006133542014762801	99.93866457985237	58.0
si:zfos-932h1.3	False	False	447	0.004779932742539287	99.5272942619657	452.0
mansc1	False	False	25	0.0002643768109811552	99.97356231890188	25.0
lrp6	False	False	1272	0.013705293881263087	98.65485078572789	1296.0
dusp16	False	False	2419	0.026458831242994016	97.44188997694634	2502.0
crebl2	False	False	1838	0.01996573676529684	98.05630168566654	1888.0
gpr19	False	False	1909	0.021351071254838094	97.9812186713479	2019.0
tbk1	False	False	1053	0.01146337852414289	98.88644487214737	1084.0
eps8a	False	False	387	0.004187728685941499	99.59074469660118	396.0
ptpro	False	False	1926	0.021139569806053173	97.96324104820118	1999.0
ptpro.1	False	False	2747	0.03018125674160868	97.09502760093906	2854.0
RERG	False	False	76	0.0008037055053827119	99.91962944946174	76.0
si:ch73-252i11.1	False	False	160	0.001723736807597132	99.83079884097205	163.0
CABZ01085275.1	False	False	29	0.00030667710073814004	99.96933228992619	29.0
echdc3	False	False	183	0.0019881136185782872	99.80647617436179	188.0
FO834823.1	False	False	1128	0.012351684609039572	98.80713182885302	1168.0
msgn1	False	False	31393	0.755948478247076	66.80167509147438	71484.0
si:ch211-51e12.7	False	False	39964	0.6536135022524904	57.73778050379646	61807.0
mrps10	False	False	17402	0.22252067426661873	81.59725894122374	21042.0
tulp4a	False	False	1687	0.01846407647892388	98.21598527949917	1746.0
tmem181	False	False	4119	0.04585351409657156	95.64412766227449	4336.0
dynlt1	False	False	2153	0.0241217402339206	97.7231869038303	2281.0
rpl18a	False	False	94402	13.015820308369113	0.16920115902794297	1230802.0
BX890562.1	False	False	31	0.0003278272456166325	99.96721727543833	31.0
BX890562.3	False	False	20	0.0002115014487849242	99.97884985512151	20.0
BX890562.2	False	False	694	0.007413125779911592	99.26608997271632	701.0
BX890562.4	False	False	1	1.0575072439246209e-05	99.99894249275607	1.0
AL845512.1	False	False	0	0.0	100.0	0.0
pthlha	False	False	118	0.0013324591273450224	99.8752141452169	126.0
xpot	False	False	12377	0.14906622110361456	86.91123284194498	14096.0
rtcb	False	False	4233	0.047429199890019244	95.52357183646708	4485.0
CU855889.1	False	False	67	0.000708529853429496	99.92914701465705	67.0
fbxo7	False	False	1573	0.017089317061821874	98.33654110530658	1616.0
CU855889.2	False	False	3733	0.04136968338233117	96.0523254584294	3912.0
ost4	False	False	23959	0.3283771493834733	74.66318394281001	31052.0
agbl5	False	False	2323	0.025559950085658086	97.54341067236311	2417.0
tmem214	False	False	12477	0.14938347327679194	86.8054821175525	14126.0
mapre3b	False	False	2318	0.025676275882489795	97.54869820858273	2428.0
dpysl5b	False	False	754	0.00822740635773355	99.20263953808085	778.0
sobpb	False	False	5804	0.06976375288170723	93.8622279562615	6597.0
si:ch211-152c2.3	False	False	41550	1.40614623210169	56.06057401493201	132968.0
crybg1b	False	False	1442	0.016951841120111673	98.4750745542607	1603.0
BX649468.1	False	False	99	0.0011209576785600982	99.89530678285146	106.0
mrap2b	False	False	34	0.0003595524629343711	99.96404475370656	34.0
ripply2	False	False	2945	0.042152238742835385	96.88564116664199	3986.0
sim1b	False	False	68	0.0007402550707472347	99.92808950741312	70.0
atp23	False	False	3842	0.04298766946553584	95.9370571688416	4065.0
rpap3	False	False	9228	0.10851081829910535	90.2413231530636	10261.0
naga	False	False	7712	0.08866140733064022	91.84450413485332	8384.0
FAM180A	False	False	49	0.0005287536219623104	99.9481821450477	50.0
mtpn	False	False	12919	0.15620439500010574	86.33806391573782	14771.0
si:ch211-117i20.2	False	False	289	0.0030667710073814004	99.69438040650579	290.0
chrm2a	False	False	469	0.0062181425942767704	99.50402910259936	588.0
CR548631.1	False	False	0	0.0	100.0	0.0
ptn	False	False	644	0.007360250417715361	99.31896533491255	696.0
CABZ01068469.1	False	False	2690	0.029589052685010893	97.15530551384278	2798.0
trim35-14	False	False	7	7.402550707472346e-05	99.99259744929253	7.0
zmp:0000000711	False	False	4004	0.04544108627144096	95.76574099532581	4297.0
